year,nationality_of_ownership,Actual_Capital_Expenditure_-_Instruments_and_Equipment_excluding_software,Actual_Capital_Expenditure_-_Land_and_Buildings,Actual_Capital_Expenditure_-_Software_development_by_company_in-house_and_used_in-house,Actual_Capital_Expenditure_-_Software_purchased_wholly_for_Research_and_Development_purposes,Actual_Capital_Expenditure-_Payments_made_for_licences_to_use_intellectual_products,Actual_Current_Expenditure_-_Labour_Costs,Actual_Current_Expenditure_-_Other_Current_Costs,Actual_Total_Capital_Expenditure,Actual_Total_Current_Expenditure,Actual_Total_Research_and_Development_Expenditure,Estimated_Capital_Expenditure_-_Instruments_and_Equipment_excluding_software,Estimated_Capital_Expenditure_-_Land_and_Buildings,Estimated_Capital_Expenditure_-_Software_development_by_company_in-house_and_used_in-house,Estimated_Capital_Expenditure_-_Software_purchased_wholly_for_Research_and_Development_purposes,Estimated_Capital_Expenditure-_Payments_made_for_licences_to_use_intellectual_products,Estimated_Current_Expenditure_-_Labour_Costs,Estimated_Current_Expenditure_-_Other_Current_Costs,Estimated_Total_Capital_Expenditure,Estimated_Total_Current_Expenditure,Estimated_Total_Research_and_Development_Expenditure,Enterprises_Engaged_in_Research_and_Development_Activities_%,Enterprises_Engaged_in_Research_and_Development_Activities_Number,type_of_innovation,Enterprises_Engaged_in_Intellectual_Property_Rights_Activities
2020,Non Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,115662.0,38767.0,37835.0,5264.0,416568.0,1238928.0,560295.0,614096.0,1799224.0,2413320.0,200.0,2566.0,All enterprises claiming copyright,3.4
2020,Non Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,115662.0,38767.0,37835.0,5264.0,416568.0,1238928.0,560295.0,614096.0,1799224.0,2413320.0,200.0,2566.0,All enterprises using trade secrets,2.1
2020,Non Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,115662.0,38767.0,37835.0,5264.0,416568.0,1238928.0,560295.0,614096.0,1799224.0,2413320.0,200.0,2566.0,Any intellectual innovation,12.1
2020,Non Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,115662.0,38767.0,37835.0,5264.0,416568.0,1238928.0,560295.0,614096.0,1799224.0,2413320.0,200.0,2566.0,Apply for a European utility model,4.5
2020,Non Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,115662.0,38767.0,37835.0,5264.0,416568.0,1238928.0,560295.0,614096.0,1799224.0,2413320.0,200.0,2566.0,Apply for a patent,6.0
2020,Non Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,115662.0,38767.0,37835.0,5264.0,416568.0,1238928.0,560295.0,614096.0,1799224.0,2413320.0,200.0,2566.0,Register a trademark,6.4
2020,Non Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,115662.0,38767.0,37835.0,5264.0,416568.0,1238928.0,560295.0,614096.0,1799224.0,2413320.0,200.0,2566.0,Register an industrial design right,1.2
2021,All nationalities of ownership,176930.0,70011.0,155197.0,16675.0,21240.0,2045309.0,1393645.0,440053.0,3438954.0,3879007.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,200.0,3862.0,All enterprises claiming copyright,4.5
2021,Irish ownership,59442.0,32585.0,105252.0,7586.0,6971.0,582517.0,382944.0,211835.0,965461.0,1177296.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,200.1,2690.0,All enterprises claiming copyright,4.5
2021,Non Irish ownership,117488.0,37426.0,49945.0,9089.0,14269.0,1462792.0,1010701.0,228217.0,2473493.0,2701711.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,200.0,1171.0,All enterprises claiming copyright,4.5
2022,All nationalities of ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,2613573.0,1972629.0,2408772.0,4586202.0,6994975.0,200.0,2566.0,All enterprises claiming copyright,1.3
2022,All nationalities of ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,2613573.0,1972629.0,2408772.0,4586202.0,6994975.0,200.0,2566.0,All enterprises using trade secrets,3.9
2022,All nationalities of ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,2613573.0,1972629.0,2408772.0,4586202.0,6994975.0,200.0,2566.0,Any intellectual innovation,13.4
2022,All nationalities of ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,2613573.0,1972629.0,2408772.0,4586202.0,6994975.0,200.0,2566.0,Apply for a European utility model,4.5
2022,All nationalities of ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,2613573.0,1972629.0,2408772.0,4586202.0,6994975.0,200.0,2566.0,Apply for a patent,4.5
2022,All nationalities of ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,2613573.0,1972629.0,2408772.0,4586202.0,6994975.0,200.0,2566.0,Register a trademark,5.6
2022,All nationalities of ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,2613573.0,1972629.0,2408772.0,4586202.0,6994975.0,200.0,2566.0,Register an industrial design right,0.7
2022,Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,1143697.0,200.0,2566.0,All enterprises claiming copyright,1.3
2022,Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,1143697.0,200.0,2566.0,All enterprises using trade secrets,3.9
2022,Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,1143697.0,200.0,2566.0,Any intellectual innovation,13.4
2022,Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,1143697.0,200.0,2566.0,Apply for a European utility model,4.5
2022,Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,1143697.0,200.0,2566.0,Apply for a patent,4.5
2022,Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,1143697.0,200.0,2566.0,Register a trademark,5.6
2022,Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,1143697.0,200.0,2566.0,Register an industrial design right,0.7
2022,Non Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,5851278.0,200.0,2566.0,All enterprises claiming copyright,1.3
2022,Non Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,5851278.0,200.0,2566.0,All enterprises using trade secrets,3.9
2022,Non Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,5851278.0,200.0,2566.0,Any intellectual innovation,13.4
2022,Non Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,5851278.0,200.0,2566.0,Apply for a European utility model,4.5
2022,Non Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,5851278.0,200.0,2566.0,Apply for a patent,4.5
2022,Non Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,5851278.0,200.0,2566.0,Register a trademark,5.6
2022,Non Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,5851278.0,200.0,2566.0,Register an industrial design right,0.7
2023,All nationalities of ownership,187171.0,187171.0,187171.0,187171.0,187171.0,2616850.0,1975102.0,2411792.0,4591952.0,7003745.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,200.0,4702.0,All enterprises claiming copyright,4.5
2023,Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,1132247.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,200.0,3411.0,All enterprises claiming copyright,4.5
2023,Non Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,5871498.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,199.9,1291.0,All enterprises claiming copyright,4.5
2024,All nationalities of ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,2765991.0,1938219.0,1885354.0,4704210.0,6589565.0,200.0,2566.0,All enterprises claiming copyright,4.5
2024,Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,1012941.0,200.0,2566.0,All enterprises claiming copyright,4.5
2024,Non Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,5576624.0,200.0,2566.0,All enterprises claiming copyright,4.5
