year,nationality_of_ownership,Actual_Capital_Expenditure_-_Instruments_and_Equipment_excluding_software,Actual_Capital_Expenditure_-_Land_and_Buildings,Actual_Capital_Expenditure_-_Software_development_by_company_in-house_and_used_in-house,Actual_Capital_Expenditure_-_Software_purchased_wholly_for_Research_and_Development_purposes,Actual_Capital_Expenditure-_Payments_made_for_licences_to_use_intellectual_products,Actual_Current_Expenditure_-_Labour_Costs,Actual_Current_Expenditure_-_Other_Current_Costs,Actual_Total_Capital_Expenditure,Actual_Total_Current_Expenditure,Actual_Total_Research_and_Development_Expenditure,Estimated_Capital_Expenditure_-_Instruments_and_Equipment_excluding_software,Estimated_Capital_Expenditure_-_Land_and_Buildings,Estimated_Capital_Expenditure_-_Software_development_by_company_in-house_and_used_in-house,Estimated_Capital_Expenditure_-_Software_purchased_wholly_for_Research_and_Development_purposes,Estimated_Capital_Expenditure-_Payments_made_for_licences_to_use_intellectual_products,Estimated_Current_Expenditure_-_Labour_Costs,Estimated_Current_Expenditure_-_Other_Current_Costs,Estimated_Total_Capital_Expenditure,Estimated_Total_Current_Expenditure,Estimated_Total_Research_and_Development_Expenditure,expenditure,Enterprises_Engaged_in_Research_and_Development_Activities_%,Enterprises_Engaged_in_Research_and_Development_Activities_Number,type_of_innovation,Enterprises_Engaged_in_Intellectual_Property_Rights_Activities
0,1,24974.0,7410.0,41504.71428571428,11589.666666666666,21112.571428571428,280135.0,130492.0,32384.0,410627.0,443010.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,Any expenditure,100.0,817.0,0,5.658666666666666
0,2,180730.0,66157.0,41504.71428571428,11589.666666666666,21112.571428571428,563712.0,349576.0,246887.0,913287.0,1160174.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,0-99k,23.4,91.0,0,5.658666666666666
0,2,180730.0,66157.0,41504.71428571428,11589.666666666666,21112.571428571428,563712.0,349576.0,246887.0,913287.0,1160174.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,100k-499k,27.0,105.0,0,5.658666666666666
0,2,180730.0,66157.0,41504.71428571428,11589.666666666666,21112.571428571428,563712.0,349576.0,246887.0,913287.0,1160174.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,2M-4.99M,13.9,54.0,0,5.658666666666666
0,2,180730.0,66157.0,41504.71428571428,11589.666666666666,21112.571428571428,563712.0,349576.0,246887.0,913287.0,1160174.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,500k-1.99M,20.3,79.0,0,5.658666666666666
0,2,180730.0,66157.0,41504.71428571428,11589.666666666666,21112.571428571428,563712.0,349576.0,246887.0,913287.0,1160174.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,5M+,15.7,61.0,0,5.658666666666666
0,2,180730.0,66157.0,41504.71428571428,11589.666666666666,21112.571428571428,563712.0,349576.0,246887.0,913287.0,1160174.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,Any expenditure,100.0,389.0,0,5.658666666666666
1,0,95924.83333333333,33585.625,41504.71428571428,11589.666666666666,21112.571428571428,966545.64,581612.84,283135.68,1548158.16,1955040.4444444445,206768.0,64304.0,54298.242424242424,9640.363636363636,88543.5303030303,905373.0,510286.0,271072.0,1415659.0,1686732.0,,33.33567901234567,390.5246913580247,0,5.658666666666666
1,1,95924.83333333333,33585.625,41504.71428571428,11589.666666666666,21112.571428571428,966545.64,581612.84,283135.68,1548158.16,1955040.4444444445,32505.0,19870.0,54298.242424242424,9640.363636363636,88543.5303030303,308698.0,160376.0,52375.0,469074.0,521449.0,,33.33567901234567,390.5246913580247,0,5.658666666666666
1,2,95924.83333333333,33585.625,41504.71428571428,11589.666666666666,21112.571428571428,966545.64,581612.84,283135.68,1548158.16,1955040.4444444445,174263.0,44434.0,54298.242424242424,9640.363636363636,88543.5303030303,596675.0,349910.0,218698.0,946585.0,1165283.0,,33.33567901234567,390.5246913580247,0,5.658666666666666
